,query,NF,preference_type,MOO_method,model_selection,model_ordering,num_pred,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag,actual_cost,actual_f1
0,( person & car ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,"{'person': 'model_16', 'car': 'model_16'}","['person', 'car']",2,0.995138,18,142909075,10.99967957,0.004553574,2,18,0.854
1,( person & car ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,"{'person': 'model_46', 'car': 'model_46'}","['person', 'car']",2,0.982018,16,44347377,10.00094414,0.004542289,2,16,0.704
2,( person & car ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,"{'person': 'model_46', 'car': 'model_46'}","['person', 'car']",2,0.982018,16,44347377,11.03496552,0.004535256,2,16,0.704
3,( person & car ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,"{'person': 'model_46', 'car': 'model_46'}","['person', 'car']",2,0.982018,16,44347377,10.99872589,0.004535463,2,16,0.704
4,( person & car ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,"{'person': 'model_46', 'car': 'model_46'}","['person', 'car']",2,0.982018,16,44347377,10.01477242,0.004534543,2,16,0.704
5,( person & car ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,"{'person': 'model_46', 'car': 'model_46'}","['person', 'car']",2,0.982018,16,44347377,8.995056152,0.004322632,2,16,0.704
6,( person & car ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",lexicographic,"{'person': 'model_6', 'car': 'model_6'}","['person', 'car']",2,0.995974,21,346926151,3.001213074,0.000421771,2,21,0.859
7,( person & car ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",lexicographic,"{'person': 'model_46', 'car': 'model_46'}","['person', 'car']",2,0.982018,16,44347377,0.999450684,0.000104655,2,16,0.704
8,( person & car ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",lexicographic,"{'person': 'model_6', 'car': 'model_6'}","['person', 'car']",2,0.995974,21,346926151,1.000165939,0.000421763,2,21,0.859
9,( person & car ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",lexicographic,"{'person': 'model_46', 'car': 'model_46'}","['person', 'car']",2,0.982018,16,44347377,1.034259796,0.000104655,2,16,0.704
