,Unnamed: 0,model_name,cost,memory,score_type,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,,LR_toxic,4,82567786,f1_score,0.69323,0,0,0,0,0
0,,LR_toxic,4,82567786,accuracy_score,0.9367,0,0,0,0,0
0,,LR_toxic,4,82567786,precision_score,0.64342,0,0,0,0,0
0,,LR_toxic,4,82567786,recall_score,0.7514,0,0,0,0,0
0,,LR_severe_toxic,4,82567786,f1_score,0.0,0.35127,0,0,0,0
0,,LR_severe_toxic,4,82567786,accuracy_score,0.0,0.99284,0,0,0,0
0,,LR_severe_toxic,4,82567786,precision_score,0.0,0.36578,0,0,0,0
0,,LR_severe_toxic,4,82567786,recall_score,0.0,0.33787,0,0,0,0
0,,LR_obscene,4,82567786,f1_score,0.0,0,0.7058,0,0,0
0,,LR_obscene,4,82567786,accuracy_score,0.0,0,0.96796,0,0,0
0,,LR_obscene,4,82567786,precision_score,0.0,0,0.75038,0,0,0
0,,LR_obscene,4,82567786,recall_score,0.0,0,0.66622,0,0,0
0,,LR_threat,4,82567786,f1_score,0.0,0,0,0.43558,0,0
0,,LR_threat,4,82567786,accuracy_score,0.0,0,0,0.99712,0,0
0,,LR_threat,4,82567786,precision_score,0.0,0,0,0.61739,0,0
0,,LR_threat,4,82567786,recall_score,0.0,0,0,0.33649,0,0
0,,LR_insult,4,82567786,f1_score,0.0,0,0,0,0.63033,0
0,,LR_insult,4,82567786,accuracy_score,0.0,0,0,0,0.96639,0
0,,LR_insult,4,82567786,precision_score,0.0,0,0,0,0.76727,0
0,,LR_insult,4,82567786,recall_score,0.0,0,0,0,0.53487,0
0,,LR_identity_hate,4,82567786,f1_score,0.0,0,0,0,0,0.42136
0,,LR_identity_hate,4,82567786,accuracy_score,0.0,0,0,0,0,0.99086
0,,LR_identity_hate,4,82567786,precision_score,0.0,0,0,0,0,0.71237
0,,LR_identity_hate,4,82567786,recall_score,0.0,0,0,0,0,0.29916
