,Query_num,query,model_type,NF,preference_type,MOO_method,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag
97,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",archimedean_goal_method,0.007525175,75,20515,611.9289398,0.00534167,2
98,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",archimedean_goal_method,0.007657726,22.219,283620,2525.363922,0.278165687,2
99,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",archimedean_goal_method,0.007525175,75,20515,595.82901,0.005446369,2
100,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",archimedean_goal_method,0.007657726,22.219,283620,3152.946472,0.341636732,2
101,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",archimedean_goal_method,0.007623474,122,239220,1301.919937,0.012506831,2
102,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",archimedean_goal_method,0.007657726,22.219,283620,2384.407043,0.286113973,2
103,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",archimedean_goal_method,0.007796342,112,267120,721.6510773,0.015856653,2
104,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",archimedean_goal_method,0.007657726,22.21901908,283620,2777.12822,0.339246184,2
105,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",archimedean_goal_method,0.007088688,89,229075,1019.931793,0.011259944,2
106,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",archimedean_goal_method,0.007525175,22.16797048,269515,2133.630753,0.343702074,2
107,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",archimedean_goal_method,0.006461254,55,28815,474.9965668,0.008374874,2
108,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",archimedean_goal_method,0.007657726,22.219,283620,1960.702896,0.240140791,2
218,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",archimedean_goal_method,0.880751926,68,63070,1349.342346,0.014214336,2
219,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",archimedean_goal_method,0.897816808,22.05635766,268895,5270.786285,0.391567724,2
220,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",archimedean_goal_method,0.880751926,68,63070,1376.968384,0.009401442,2
